SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.743242371,50,0,0.115377515,10833.0,9,0,0,0,0.0
1,0.533416005,39,0,1746.0,,10,0,1,0,2.0
1,0.91093608,47,0,0.076549557,3500.0,4,0,0,0,1.0
0,0.029846466,75,0,0.11953125,6399.0,10,0,0,0,1.0
0,0.0,63,0,0.317029632,2800.0,7,0,1,0,0.0
0,0.017199471,67,0,0.432567433,1000.0,7,0,1,0,0.0
1,0.571490656,36,0,0.113863538,2300.0,6,1,0,0,0.0
0,0.03904081,44,0,0.549645035,10000.0,11,0,3,0,4.0
0,0.025317349,70,0,0.223871367,4850.0,11,0,0,0,0.0
1,0.513602403,39,0,0.397221345,3166.0,18,0,1,0,0.0
0,0.061276222,75,0,0.02178718,6333.0,7,0,0,0,1.0
0,0.614756537,51,0,0.459189475,12312.0,12,0,2,0,3.0
1,0.061127899,70,1,0.755165519,4500.0,16,0,5,1,0.0
0,0.417406607,55,0,0.058005273,10998.0,7,0,0,0,1.0
0,0.038331454,50,0,969.0,,3,0,1,0,0.0
1,0.317477953,45,2,0.069594035,7241.0,11,0,0,0,0.0
0,0.0,48,0,3145.0,,2,0,1,0,
0,0.008623922,43,0,0.223612104,8393.0,9,0,2,0,1.0
1,0.729129805,47,4,0.572032108,7100.0,12,0,2,0,2.0
0,0.04642835,36,1,0.046392577,6250.0,23,0,0,0,2.0
0,0.040646333,70,0,0.250590219,5929.0,10,0,1,0,0.0
0,0.229894102,47,0,0.68921095,3104.0,7,0,2,0,0.0
0,0.182827685,53,0,0.226252159,11000.0,13,0,1,0,0.0
0,0.0,50,0,0.0,,3,0,0,0,0.0
0,0.048485247,45,0,0.297207761,12677.0,8,0,2,0,3.0
0,0.0,57,0,1298.0,,6,0,1,0,0.0
0,0.091401012,60,0,4571.0,,11,0,2,0,0.0
0,0.047073551,60,0,1728.0,,10,0,2,0,0.0
0,0.321087327,52,0,0.053727613,2400.0,2,0,0,0,0.0
0,0.15492473,55,0,1318.0,,6,0,1,0,
0,0.442936009,52,0,0.321512264,6400.0,8,0,1,0,0.0
0,0.13720546,38,0,0.011291461,4250.0,6,0,0,0,0.0
0,0.275897095,55,0,0.443777854,5833.0,20,0,1,0,0.0
0,0.138692302,52,0,18.71287129,100.0,7,0,1,0,0.0
0,0.054904308,66,0,111.0,,7,0,0,0,0.0
1,0.170616913,41,0,0.092157461,3276.0,10,1,0,0,0.0
0,0.515471223,62,0,0.101309294,4658.0,6,0,0,0,1.0
0,0.03744099,60,0,0.434704583,7243.0,9,0,2,0,0.0
0,0.332912919,54,1,0.547693686,11164.0,15,0,4,0,0.0
1,1.078039342,51,2,0.707342842,3785.0,8,0,1,1,2.0
0,0.9999999,75,0,0.79757085,1975.0,3,0,1,0,0.0
0,0.001587251,45,0,0.000333222,3000.0,4,0,0,0,1.0
1,0.715773786,49,0,12.5748503,500.0,17,0,2,0,3.0
1,1.22558538,50,3,817.0,,12,3,0,0,0.0
0,0.032836103,76,1,0.703552708,5150.0,11,0,2,0,0.0
0,0.404004495,47,1,0.203234579,6986.0,10,0,1,0,2.0
1,0.9999999,24,0,0.016327891,3000.0,0,1,0,0,1.0
0,0.05629303,53,0,1.077169132,2500.0,19,0,1,0,0.0
0,0.0,58,0,0.377850163,306.0,2,0,0,0,0.0
0,0.0,57,0,0.0,2500.0,1,0,0,0,1.0
0,0.396806699,50,0,1727.0,,12,0,0,0,0.0
1,0.9999999,52,0,0.0,2500.0,1,0,0,0,0.0
0,0.547524024,44,0,0.411921891,4864.0,9,0,1,0,1.0
0,0.051704881,77,0,0.006497175,3539.0,2,0,0,0,0.0
0,0.320559964,36,0,0.650837291,4000.0,9,0,1,0,1.0
0,0.058592792,61,0,0.313463515,6810.0,24,0,3,0,0.0
1,0.556591981,45,0,1.409716125,6833.0,22,0,8,0,0.0
0,0.12232314,38,0,44.0,,2,0,0,0,0.0
0,0.009489816,63,0,0.00079766,11282.0,8,0,0,0,1.0
0,0.0,57,1,0.65738758,1400.0,6,0,1,0,0.0
1,0.855221012,60,0,1.004373633,3200.0,10,0,0,0,0.0
0,0.0,60,0,0.24941537,12400.0,5,0,2,0,1.0
1,0.979661402,46,1,0.56095936,1500.0,4,2,0,0,3.0
1,0.9999999,44,1,794.0,,6,1,0,0,4.0
0,0.0,51,0,0.043246187,9179.0,9,0,0,0,4.0
1,0.851771858,44,3,0.236884335,8100.0,9,0,1,0,2.0
0,0.003446435,55,0,0.136246787,3500.0,8,0,0,0,0.0
0,0.624852802,75,0,3356.0,,11,0,1,0,0.0
0,0.274268752,91,0,1869.0,,27,0,1,0,0.0
0,0.144582545,54,0,1160.0,,9,0,2,0,0.0
0,0.043053812,53,0,0.457796595,11100.0,13,0,2,0,1.0
0,0.15825522,46,0,0.348530294,5000.0,8,0,2,0,0.0
1,0.984920603,42,0,0.295081967,2500.0,1,0,0,0,7.0
0,0.050485577,69,0,0.062542488,1470.0,11,0,0,0,0.0
0,0.74546795,63,0,0.735301119,4200.0,34,0,2,0,0.0
0,0.097641423,77,0,0.298092946,5400.0,12,0,2,0,0.0
1,0.9999999,44,0,0.078200321,5600.0,2,0,0,0,2.0
0,0.250452503,62,0,0.043823352,26583.0,27,0,0,0,4.0
1,0.887112887,44,2,0.576514678,1600.0,5,0,0,2,2.0
0,0.002690811,69,0,0.048956084,12500.0,9,0,0,0,0.0
1,0.934613077,64,1,1193.0,,8,0,1,1,0.0
1,0.885852358,40,0,0.097357772,4200.0,3,0,0,0,5.0
0,0.009238628,46,0,0.226517519,6078.0,6,0,2,0,0.0
0,0.012303906,22,0,1.0,,2,0,0,0,0.0
1,0.591541406,54,10,0.298233922,3000.0,12,0,0,0,0.0
0,0.297247616,55,0,0.387426326,7634.0,17,0,2,0,2.0
0,0.110502476,71,0,0.379578246,9009.0,22,0,1,0,1.0
0,0.278772123,40,0,0.343330702,3800.0,7,0,0,0,0.0
1,0.312544476,33,0,0.563277765,4258.0,13,0,2,0,5.0
1,0.171072647,36,0,0.971867008,7428.0,18,0,4,0,2.0
0,0.078950241,37,0,0.187635394,6000.0,7,0,1,0,0.0
1,0.543331128,49,7,0.386156648,8783.0,17,1,2,1,1.0
0,0.143874741,53,1,0.54704797,3251.0,13,0,1,0,1.0
1,0.801265706,52,2,1.167817186,4200.0,18,2,2,2,1.0
0,0.0,30,0,1.153692615,500.0,9,0,0,0,0.0
0,0.0,57,0,0.367434387,5600.0,8,0,1,0,1.0
1,0.209936383,39,1,2349.0,,10,0,1,0,0.0
0,0.210827025,52,0,2402.0,0.0,4,0,1,0,3.0
0,0.010199854,67,0,0.009995002,2000.0,8,0,0,0,0.0
0,0.470394303,73,0,0.369977539,8013.0,9,0,1,0,1.0
0,0.046009447,59,0,0.354435566,4880.0,12,0,2,0,1.0
0,0.01424155,73,0,0.171049137,7529.0,13,0,0,0,0.0
0,0.863101526,53,0,0.197143361,5670.0,4,0,0,0,0.0
1,0.9999999,51,0,0.081507113,2600.0,4,0,0,1,2.0
0,0.000235266,24,0,0.065733567,4000.0,5,0,0,0,0.0
0,0.014474638,65,0,389.0,,15,0,0,0,
0,0.125582079,63,0,0.613548029,1800.0,10,0,0,0,0.0
0,0.037389197,79,0,518.0,,9,0,0,0,0.0
0,0.371546356,35,0,0.28035982,2000.0,8,0,0,0,0.0
1,0.149623583,55,2,6749.0,,7,0,2,0,0.0
0,0.680638723,33,0,0.572055596,4100.0,5,0,1,0,0.0
0,0.247642992,82,0,0.042985671,3000.0,13,0,0,0,0.0
0,0.263515444,52,0,2.825145712,1200.0,13,0,2,0,2.0
0,0.020827976,46,0,0.002054593,10220.0,2,0,0,0,1.0
0,0.047197902,84,0,0.006180694,5500.0,6,0,0,0,0.0
0,0.303523548,39,0,0.381197056,7200.0,10,0,1,0,3.0
0,0.09914542,59,2,0.30308417,11250.0,9,0,2,0,2.0
0,0.304594928,42,0,0.167505874,2978.0,5,0,0,0,3.0
1,0.810914681,63,0,0.784435037,3070.0,13,0,2,0,1.0
0,0.093454384,43,0,3986.0,,25,0,2,0,0.0
0,0.077224829,43,0,30.0,,2,0,0,0,0.0
0,0.091986601,42,0,0.355755028,8800.0,8,0,2,0,1.0
0,0.039769474,43,1,0.270077998,11666.0,8,0,2,0,2.0
0,0.037718491,89,0,28.0,,5,0,0,0,0.0
1,1.009464204,38,2,0.115267508,4597.0,6,0,0,0,0.0
0,0.024654996,51,3,5200.0,0.0,22,0,2,0,0.0
0,0.040533311,69,0,0.397148009,6100.0,7,0,1,0,0.0
0,0.9999999,29,0,0.516571724,3861.0,4,0,2,0,1.0
0,0.243783748,55,0,0.054625829,9500.0,4,0,0,0,3.0
0,0.463684544,52,0,0.129979368,6300.0,3,0,0,0,0.0
0,0.154381819,50,0,0.233801992,17069.0,15,0,2,0,2.0
0,0.078953089,74,0,0.018996834,6000.0,3,0,0,0,1.0
0,0.171930234,65,0,8734.0,,27,0,3,0,0.0
0,0.654996751,44,0,0.50272192,9000.0,12,0,1,0,0.0
0,0.9999999,52,0,0.231590633,18916.0,8,0,2,0,2.0
0,0.145885776,47,0,0.364143704,8600.0,11,0,3,0,4.0
0,0.08128378,53,0,0.237705663,11000.0,5,0,1,0,0.0
1,1.784035994,30,1,0.195601466,3000.0,9,0,0,1,0.0
0,0.0,26,0,0.0,3000.0,5,0,0,0,0.0
0,0.011666517,61,0,0.114001189,6727.0,13,0,1,0,0.0
0,0.018872623,68,0,0.059184218,3750.0,12,0,1,0,0.0
0,0.05114506,60,0,0.078303426,5516.0,11,0,0,0,1.0
0,0.254361989,47,0,0.548369663,5550.0,15,0,2,0,2.0
0,0.9999999,59,0,0.0,1109.0,1,0,0,0,0.0
0,0.142652146,40,0,0.147403182,3330.0,5,0,0,0,0.0
0,0.119363875,54,0,0.318181818,3651.0,5,0,1,0,2.0
0,0.064072587,59,0,1516.0,0.0,8,0,1,0,1.0
0,0.006091119,85,0,0.029616227,10500.0,17,0,0,0,0.0
1,2012.0,47,2,0.324319484,5583.0,7,0,1,0,0.0
0,0.00599976,70,0,0.216885007,2060.0,6,0,1,0,0.0
0,0.654786655,33,0,0.244188953,4000.0,5,0,0,0,1.0
0,0.377001138,52,0,3764.0,,12,0,2,0,0.0
0,0.304313461,63,1,0.61776889,7000.0,16,0,3,0,0.0
0,0.671212671,61,0,0.537115721,4000.0,11,0,1,0,1.0
1,0.9999999,52,0,0.0,,1,0,0,0,0.0
0,0.022618675,72,0,0.008157895,3799.0,5,0,0,0,0.0
0,0.027151548,55,1,0.096263976,11000.0,17,0,1,0,0.0
0,0.000416658,53,0,0.16111984,7000.0,15,0,1,0,1.0
1,0.937701351,52,0,0.402224536,18250.0,20,0,4,0,1.0
0,0.002440976,73,0,0.306309958,7400.0,15,0,2,0,1.0
0,0.524911276,45,0,0.376202975,8000.0,11,0,3,0,2.0
0,0.065316391,55,0,0.32110395,6050.0,8,0,1,0,2.0
0,0.159748582,42,0,0.029384109,4253.0,4,0,0,0,3.0
0,0.339137226,56,0,1.521478282,4166.0,20,0,4,0,0.0
0,0.01112057,83,0,32.0,,14,0,0,0,
0,0.035008788,63,0,0.507097792,1267.0,29,0,0,0,0.0
1,0.503625677,55,2,0.113636364,8667.0,27,0,1,0,0.0
1,0.865266447,33,0,0.369462419,8035.0,9,0,1,0,2.0
0,0.350462342,43,0,0.351382225,8753.0,6,0,1,0,4.0
0,0.043052923,76,0,89.0,,5,0,0,0,0.0
0,0.002243542,45,0,0.419012215,5648.0,8,0,2,0,3.0
0,0.157722818,46,0,0.170719725,4070.0,10,0,0,0,0.0
0,0.349629552,36,0,2258.0,,13,0,0,0,0.0
0,0.454954505,68,1,0.509942795,3670.0,7,0,2,0,0.0
1,0.578057413,30,1,532.0,,4,0,0,0,0.0
0,0.9999999,51,0,0.145141196,4815.0,2,0,0,0,0.0
0,0.050751747,56,0,713.0,,7,0,1,0,0.0
0,0.072431254,54,0,0.782826055,6800.0,4,0,3,0,0.0
0,0.05575525,49,0,0.016284163,10500.0,9,0,0,0,0.0
0,0.546382979,30,0,0.829894434,4167.0,6,0,2,0,2.0
1,0.297214452,55,2,0.312442396,8679.0,28,0,2,0,0.0
1,1.068490002,56,1,0.275668537,3028.0,6,0,0,1,0.0
0,0.041505599,51,0,0.409391808,4833.0,11,0,1,0,2.0
0,0.768199472,53,0,0.356263356,9826.0,13,0,2,0,2.0
0,0.027197175,55,0,0.260740639,14500.0,10,0,1,0,5.0
0,0.359812446,38,0,0.198159882,11520.0,8,0,1,0,3.0
0,0.016406971,55,0,0.001785714,5599.0,3,0,0,0,2.0
0,0.004658096,86,0,2.0,,3,0,0,0,0.0
1,0.68962118,37,0,0.268131868,2274.0,3,0,0,1,1.0
1,0.365383107,58,1,0.051985147,3500.0,4,0,0,1,0.0
0,0.9999999,75,0,790.0,,3,0,1,0,0.0
0,0.028170023,53,0,0.282201993,13950.0,17,0,1,0,3.0
0,0.0,37,0,0.0,,3,0,0,0,0.0
0,0.010872584,59,0,516.0,,9,0,1,0,
1,1.675810474,33,1,0.237302248,1200.0,2,0,0,1,2.0
0,0.013047985,61,0,0.737719298,4559.0,2,0,1,0,1.0
0,0.129971118,23,0,0.020706456,820.0,4,0,0,0,0.0
0,0.553449836,40,0,0.242292951,6000.0,6,0,0,0,3.0
0,0.831075451,45,0,0.509719222,8333.0,10,0,2,0,2.0
0,0.346855984,53,0,2412.0,,23,0,1,0,0.0
0,0.001009143,79,0,2.0,,5,0,0,0,
1,0.0,29,1,0.07782466,4265.0,6,0,0,0,4.0
0,0.051063262,48,0,0.234282644,5582.0,8,0,2,0,2.0
0,0.383424027,37,0,0.425963489,3450.0,8,0,2,0,4.0
1,0.853381097,45,0,0.499830278,17675.0,16,0,3,0,0.0
0,0.458688621,24,0,0.087728068,4000.0,3,0,0,0,0.0
0,0.279089612,50,0,0.21941397,7200.0,15,0,0,0,1.0
0,0.9999999,22,0,0.011976048,500.0,0,0,0,0,0.0
0,0.158356493,55,0,1701.0,,5,0,1,0,
0,0.024398606,25,0,0.002181422,5500.0,4,0,0,0,0.0
0,0.0,63,0,0.153685012,5250.0,12,0,0,0,0.0
0,0.999000999,29,0,0.10266352,5931.0,7,0,0,0,0.0
0,0.9999999,30,0,103.0,,2,0,0,0,2.0
0,0.016315381,84,0,19.0,,3,0,0,0,0.0
0,0.0,93,0,0.0,,2,0,0,0,
1,0.985061834,35,0,0.887100707,4100.0,8,0,3,0,3.0
0,0.213922299,63,0,0.297075078,7418.0,13,0,1,0,0.0
0,0.0,47,0,0.0,,2,0,0,0,2.0
0,0.118444192,55,0,0.279830486,7550.0,14,0,4,0,0.0
0,0.013160866,55,0,0.302696753,5450.0,15,0,4,0,0.0
0,0.085867365,42,0,0.289874039,6112.0,6,0,1,0,0.0
0,0.021480356,89,0,32.0,,5,0,0,0,0.0
0,0.007940437,46,0,0.386401511,9000.0,9,0,1,0,8.0
0,0.322200273,62,1,0.540602621,7400.0,15,0,2,0,0.0
0,0.004219916,62,0,1253.0,,9,0,1,0,0.0
0,0.003464224,41,0,1397.0,,9,0,1,0,0.0
0,0.0,55,0,0.927773203,8500.0,3,0,2,0,2.0
0,0.572193786,76,0,0.19088017,6600.0,4,0,1,0,0.0
0,0.0,64,1,0.0,4416.0,6,0,0,0,0.0
0,0.177444454,56,0,0.076274818,7000.0,10,0,0,0,1.0
0,0.0,41,0,0.092866428,12307.0,5,0,1,0,1.0
1,0.693536932,50,0,1147.0,,2,1,1,1,0.0
1,0.688656858,28,1,0.138661632,4766.0,10,0,0,0,0.0
0,0.0,37,0,0.373680169,10417.0,4,0,2,0,3.0
0,0.05604885,57,1,0.500394633,3800.0,7,0,1,0,0.0
0,0.119949324,76,0,0.461008665,4500.0,6,0,1,0,1.0
0,0.009469862,86,0,9.0,,4,0,0,0,
0,0.154845073,45,0,0.191478894,10162.0,8,0,1,0,6.0
0,0.0,78,0,840.0,,10,0,1,0,0.0
0,0.078530716,60,0,0.187360926,6740.0,4,0,2,0,0.0
0,0.26318282,50,1,0.512986221,8200.0,13,0,2,0,4.0
0,0.696211278,67,0,0.698851001,5395.0,10,0,2,0,0.0
0,0.007068844,51,0,0.157889045,9246.0,16,0,1,0,0.0
1,1.136395453,64,1,1.748148656,14583.0,13,0,4,0,1.0
1,1.118752499,38,3,0.411931345,6000.0,9,1,1,4,2.0
0,0.004156658,67,0,0.188128384,5171.0,11,0,1,0,0.0
0,0.357976905,30,0,0.226499552,3350.0,14,0,0,0,0.0
0,0.055622242,47,1,0.158778829,7500.0,16,0,0,0,3.0
0,0.179373705,39,0,0.673163418,2000.0,6,0,1,0,2.0
0,0.195218007,69,0,0.305268595,9679.0,14,0,2,0,0.0
0,0.013080374,46,0,0.00279888,2500.0,7,0,0,0,0.0
1,0.998892342,36,0,0.924018995,4000.0,7,0,1,0,2.0
0,0.02135415,74,0,22.0,,4,0,0,0,0.0
0,0.291758762,64,0,83.0,,3,0,0,0,0.0
0,0.13977573,38,1,0.265213665,8166.0,4,0,1,0,0.0
1,0.944111776,33,2,0.205128205,6200.0,4,1,0,1,0.0
0,0.042263849,39,0,0.336074827,6200.0,8,0,2,0,2.0
0,0.008705736,61,0,0.49446948,2440.0,6,0,1,0,0.0
0,0.015640046,40,0,0.817105061,6500.0,7,0,2,0,1.0
0,0.105969699,55,0,3063.0,,8,0,1,0,0.0
0,0.000959164,63,0,0.132337372,8500.0,7,0,1,0,0.0
1,0.181940648,54,0,1.44063984,4000.0,16,0,3,0,1.0
0,0.014384951,39,1,0.26851181,6900.0,12,0,2,0,2.0
1,0.931098227,35,2,0.431253529,7083.0,16,0,1,1,4.0
1,0.9999999,60,0,0.011996001,3000.0,0,0,0,0,0.0
0,0.167295482,56,0,0.450279197,8416.0,14,0,2,0,2.0
1,0.605635844,57,0,1.112083569,7083.0,27,0,1,0,2.0
1,0.816476107,39,0,0.40721888,8643.0,9,0,2,0,3.0
0,0.032983603,62,0,0.272417828,9400.0,16,0,3,0,1.0
0,0.010713039,69,0,0.362363919,4500.0,12,0,1,0,0.0
0,0.01045323,51,0,0.457923679,6000.0,8,0,1,0,1.0
0,0.214822509,46,0,0.178828366,6810.0,7,0,0,0,1.0
0,0.019367969,75,0,0.008209662,9500.0,8,0,0,0,0.0
0,0.110692526,54,0,0.151480853,5300.0,7,0,1,0,0.0
0,0.360355332,66,0,0.199707388,2733.0,4,0,0,0,0.0
1,0.957644772,28,3,0.136884203,5500.0,5,0,0,0,0.0
0,0.9999999,62,0,0.091902211,18856.0,3,0,1,0,0.0
0,0.086605363,70,0,73.0,,3,0,0,0,0.0
0,0.919155611,58,0,0.411790715,6784.0,8,0,2,0,0.0
0,0.031837062,65,0,808.0,,10,0,2,0,0.0
1,0.9999999,32,0,0.135076775,4167.0,3,3,0,0,0.0
0,0.01169883,75,0,27.0,,4,0,0,0,0.0
1,0.439212908,48,2,0.576627103,7666.0,11,0,2,1,2.0
0,0.001999926,44,0,625.0,,4,0,0,0,3.0
0,0.153980752,62,0,0.119258716,15000.0,11,0,2,0,2.0
0,0.0,51,0,0.281593775,7453.0,7,0,1,0,1.0
1,0.850007853,59,0,0.52754733,4700.0,13,0,2,0,1.0
0,0.009249229,38,0,0.477094241,4583.0,4,0,1,0,0.0
1,0.46090535,28,1,0.024487756,2000.0,7,0,0,0,0.0
0,0.325979221,63,0,0.288244453,5137.0,5,0,1,0,0.0
0,0.434732596,60,0,0.152927517,6028.0,7,0,0,0,0.0
0,0.019193196,43,0,293.0,0.0,4,0,0,0,1.0
0,0.383948743,50,0,0.660181057,7400.0,11,0,3,0,0.0
0,0.289810161,56,0,0.297808977,4700.0,5,0,1,0,0.0
0,0.016191453,39,0,0.45068323,4024.0,10,0,1,0,0.0
1,0.675398441,67,0,0.926267578,15501.0,29,0,7,0,0.0
0,0.004987344,46,0,774.0,,5,0,1,0,
0,0.988842575,67,0,0.318875025,5048.0,6,0,0,0,0.0
0,0.000931243,62,0,0.15967629,12850.0,10,0,4,0,1.0
0,0.106389361,44,0,0.537057868,8000.0,6,0,1,0,1.0
0,0.560952529,46,0,0.422724724,5350.0,12,0,1,0,1.0
0,0.21813943,58,0,0.25378717,5346.0,9,0,0,0,4.0
0,0.272879988,58,0,0.37928007,6833.0,11,0,2,0,0.0
1,0.863378874,48,0,0.274771024,1200.0,6,0,0,0,0.0
0,0.9999999,40,0,0.776921475,4800.0,4,0,2,0,0.0
0,0.031002771,45,0,0.530744876,6000.0,6,0,1,0,2.0
0,0.0,65,1,0.687156422,2000.0,9,0,1,0,0.0
0,0.231854714,67,0,0.181321513,9700.0,10,0,1,0,1.0
0,0.002472188,74,0,58.0,,9,0,0,0,0.0
0,0.059323872,45,0,837.0,,4,0,1,0,
0,0.0,31,0,0.387425495,5200.0,11,0,1,0,0.0
0,0.013260664,54,0,0.180215475,6125.0,10,0,1,0,0.0
1,0.9999999,24,0,0.0,820.0,1,1,0,0,0.0
0,0.405374354,46,0,0.331672502,7425.0,10,0,2,0,3.0
0,0.024878574,48,0,0.210855313,6558.0,7,0,2,0,2.0
0,0.416826311,61,0,0.762877635,4600.0,20,0,2,0,1.0
1,0.796407186,29,1,0.128723183,4800.0,4,0,0,0,1.0
0,0.601239876,27,0,0.447490347,2589.0,5,0,1,0,1.0
0,0.000137922,29,0,0.212584534,3400.0,4,0,1,0,0.0
0,0.56513199,38,0,0.414678482,4400.0,6,0,0,0,0.0
0,0.125212337,73,0,0.174162919,4001.0,14,0,0,0,1.0
0,0.469343672,52,0,0.238821673,1900.0,6,0,0,0,1.0
0,0.300149897,65,0,0.732965009,14660.0,23,0,5,0,0.0
1,0.0,38,1,1990.0,,9,0,1,0,1.0
0,0.285942811,41,0,0.095048789,2766.0,5,0,1,0,0.0
0,0.04179582,41,0,0.347327938,12480.0,11,0,2,0,1.0
0,0.118680082,44,0,0.009030801,6200.0,6,0,0,0,4.0
0,0.026088482,50,0,0.261596578,18000.0,17,0,1,0,0.0
1,0.865017305,40,0,0.365462808,4180.0,6,0,0,2,0.0
0,0.0,56,0,0.0,3750.0,3,0,0,0,0.0
0,0.159942231,62,0,0.348914858,9583.0,10,0,1,0,1.0
1,0.499626503,61,3,0.845618108,6891.0,18,1,1,1,0.0
0,0.009293024,64,0,3498.0,,4,0,2,0,0.0
0,0.021524611,49,0,0.336984872,5750.0,10,0,2,0,3.0
0,0.024829259,49,0,0.275671785,4167.0,4,0,1,0,1.0
1,0.723233203,65,5,0.966963704,4600.0,10,0,3,0,0.0
1,0.756749036,38,3,0.210675875,27800.0,13,3,2,5,2.0
0,0.994609633,29,0,453.0,,4,0,0,0,1.0
0,0.179422875,41,0,0.34166011,5083.0,4,0,1,0,2.0
0,0.332521472,59,0,0.306813545,2450.0,3,0,0,0,0.0
0,0.028429894,74,0,0.013486513,2001.0,5,0,0,0,0.0
1,0.350964904,28,0,1203.5,1.0,12,0,2,0,0.0
0,0.949851958,48,0,0.49773602,8833.0,11,0,1,0,2.0
0,0.069386027,40,0,104.0,,4,0,0,0,0.0
0,0.205431106,52,0,1594.0,,4,0,1,0,
0,0.084434225,61,0,0.239339752,8723.0,10,0,2,0,0.0
0,0.048301202,54,0,0.005140738,11865.0,7,0,0,0,0.0
1,0.591377694,53,2,0.499464477,2800.0,7,0,0,0,1.0
0,0.002921511,76,0,0.00059988,5000.0,7,0,0,0,1.0
1,0.9999999,30,0,0.975510204,734.0,2,0,1,1,0.0
0,0.579015712,44,0,0.145713187,2600.0,3,0,0,0,2.0
0,0.107155714,49,0,878.0,,2,0,0,0,0.0
0,0.0,50,0,0.135143024,3425.0,10,0,0,0,2.0
0,0.295740852,47,0,0.178619035,3750.0,3,0,0,0,2.0
1,0.872530749,58,0,0.657039711,3600.0,19,0,1,0,0.0
1,0.443674027,46,0,0.265790762,12253.0,10,0,1,1,4.0
0,0.02166405,76,0,39.0,,11,0,0,0,
0,0.147370111,50,1,0.23633678,8800.0,14,0,4,0,3.0
0,0.298805966,72,0,1982.0,,16,0,1,0,0.0
0,0.113528677,68,0,9396.0,,21,0,6,0,0.0
0,0.064204427,50,0,0.282946434,16670.0,7,0,2,0,0.0
1,0.322570566,31,1,0.164353137,1800.0,7,0,0,0,1.0
0,0.032674476,70,0,689.0,,6,0,1,0,0.0
0,0.025921059,73,0,0.268128287,13500.0,14,0,4,0,0.0
0,0.966338944,60,0,0.091004734,1900.0,1,0,0,0,0.0
1,0.9999999,25,0,0.008817635,2494.0,0,1,0,0,0.0
0,0.644080668,74,0,0.315324675,1924.0,7,0,1,0,1.0
0,0.016910964,42,0,0.003278151,6100.0,3,0,0,0,2.0
1,0.9999999,46,1,2.438818565,5450.0,5,3,1,0,1.0
0,0.439209788,56,1,0.426906623,13557.0,14,0,2,0,3.0
1,0.779512321,74,0,0.788605697,2000.0,11,0,1,0,0.0
0,0.216063471,46,0,0.125209147,3585.0,4,0,0,0,2.0
0,0.016040975,75,0,0.016798539,8214.0,6,0,0,0,0.0
0,0.137174729,50,0,0.182508999,7500.0,8,0,1,0,3.0
0,0.048616733,63,0,0.275890215,9800.0,6,0,2,0,1.0
0,0.000674664,74,0,0.0,2300.0,19,0,0,0,0.0
0,0.06139693,77,0,0.034351145,1047.0,2,0,0,0,0.0
0,0.021416369,54,0,0.241780658,8333.0,13,0,1,0,1.0
1,0.20651541,65,0,0.881589198,3850.0,23,0,2,1,2.0
0,0.431893007,56,1,0.483551645,10000.0,11,0,2,0,1.0
0,0.062346336,29,0,0.291382114,3074.0,8,0,0,0,2.0
1,0.001351169,27,0,17859.0,,17,0,11,0,0.0
1,0.021998977,45,0,0.16162707,8333.0,5,2,1,0,2.0
0,0.031125034,67,0,0.472800857,8400.0,27,0,3,0,0.0
0,0.071694731,61,0,8196.0,,10,0,4,0,0.0
0,0.0,43,0,5110.0,,8,0,2,0,2.0
0,0.713022075,46,0,0.548769961,9267.0,13,0,1,0,1.0
1,0.934503163,58,0,1.775858097,4340.0,7,0,2,0,0.0
0,0.0,84,0,0.079168333,2500.0,4,0,1,0,0.0
0,0.078049835,45,0,0.569960023,1750.0,10,0,2,0,0.0
0,0.043246631,68,0,0.019797624,2272.0,3,0,0,0,0.0
0,0.168294243,55,0,0.517525288,4250.0,16,0,2,0,1.0
0,0.040186458,35,0,0.300839136,5600.0,8,0,2,0,1.0
1,0.9999999,24,0,0.0,1530.0,2,0,0,0,0.0
1,0.748938864,33,0,0.706626083,4270.0,10,0,2,0,0.0
1,0.9999999,37,0,0.683597002,1200.0,8,0,1,0,1.0
1,0.714540267,49,1,0.870666293,10700.0,11,0,5,0,3.0
0,0.309146946,38,0,0.421387458,3300.0,12,0,2,0,1.0
0,0.754424558,52,0,0.306538692,5000.0,6,0,1,0,0.0
1,0.9999999,37,0,0.0,,0,0,0,0,0.0
0,0.002103091,53,0,0.187850326,6600.0,6,0,1,0,0.0
1,0.97338403,35,2,0.27882899,2800.0,5,5,0,0,0.0
0,0.0,53,0,2025.0,,3,0,1,0,0.0
0,0.0,68,0,0.328,3999.0,10,0,1,0,1.0
0,0.0,37,0,0.177007047,7236.0,5,0,1,0,3.0
0,0.205631016,38,0,0.809226594,3684.0,8,0,2,0,2.0
0,0.120934063,79,0,61.0,,1,0,0,0,0.0
0,0.365930937,48,0,0.515902282,8677.0,9,0,1,0,0.0
0,0.0,36,0,0.197750312,7200.0,12,0,1,0,0.0
1,0.924595658,39,4,961.0,,12,0,0,1,2.0
1,0.403530974,42,0,0.701921575,6400.0,12,0,3,0,2.0
